IP地址,数据中心,地区,城市,网络延迟
1.1.1.198,NRT,亚太地区,东京,81 ms
1.1.1.199,NRT,亚太地区,东京,81 ms
1.1.1.175,NRT,亚太地区,东京,81 ms
1.1.1.55,NRT,亚太地区,东京,81 ms
1.1.1.175,NRT,亚太地区,东京,81 ms
1.1.1.161,NRT,亚太地区,东京,82 ms
1.1.1.5,NRT,亚太地区,东京,82 ms
1.1.1.116,NRT,亚太地区,东京,82 ms
1.1.1.50,NRT,亚太地区,东京,82 ms
1.1.1.191,NRT,亚太地区,东京,82 ms
1.1.1.179,NRT,亚太地区,东京,82 ms
1.1.1.252,NRT,亚太地区,东京,82 ms
1.1.1.59,NRT,亚太地区,东京,82 ms
1.1.1.65,NRT,亚太地区,东京,82 ms
1.1.1.61,NRT,亚太地区,东京,82 ms
1.1.1.92,NRT,亚太地区,东京,82 ms
1.1.1.74,NRT,亚太地区,东京,82 ms
1.1.1.232,NRT,亚太地区,东京,82 ms
1.1.1.172,NRT,亚太地区,东京,82 ms
1.1.1.240,NRT,亚太地区,东京,82 ms
1.1.1.91,NRT,亚太地区,东京,82 ms
1.1.1.54,NRT,亚太地区,东京,82 ms
1.1.1.21,NRT,亚太地区,东京,82 ms
1.1.1.198,NRT,亚太地区,东京,82 ms
1.1.1.215,NRT,亚太地区,东京,82 ms
1.1.1.255,NRT,亚太地区,东京,82 ms
1.1.1.224,NRT,亚太地区,东京,82 ms
1.1.1.71,NRT,亚太地区,东京,82 ms
1.1.1.33,NRT,亚太地区,东京,82 ms
1.1.1.87,NRT,亚太地区,东京,82 ms
1.1.1.174,NRT,亚太地区,东京,82 ms
1.1.1.39,NRT,亚太地区,东京,82 ms
1.1.1.46,NRT,亚太地区,东京,83 ms
1.1.1.71,NRT,亚太地区,东京,83 ms
1.1.1.176,NRT,亚太地区,东京,83 ms
1.1.1.86,NRT,亚太地区,东京,83 ms
1.1.1.100,NRT,亚太地区,东京,83 ms
1.1.1.146,NRT,亚太地区,东京,83 ms
1.1.1.60,NRT,亚太地区,东京,83 ms
1.1.1.67,NRT,亚太地区,东京,83 ms
1.1.1.162,NRT,亚太地区,东京,83 ms
1.1.1.44,NRT,亚太地区,东京,83 ms
1.1.1.231,NRT,亚太地区,东京,83 ms
1.1.1.220,NRT,亚太地区,东京,83 ms
1.1.1.11,NRT,亚太地区,东京,83 ms
1.1.1.209,NRT,亚太地区,东京,83 ms
1.1.1.158,NRT,亚太地区,东京,83 ms
1.1.1.70,NRT,亚太地区,东京,83 ms
1.1.1.27,NRT,亚太地区,东京,83 ms
1.1.1.97,NRT,亚太地区,东京,84 ms
1.1.1.81,NRT,亚太地区,东京,84 ms
1.1.1.185,NRT,亚太地区,东京,84 ms
1.1.1.10,NRT,亚太地区,东京,84 ms
1.1.1.54,NRT,亚太地区,东京,84 ms
1.1.1.179,NRT,亚太地区,东京,84 ms
1.1.1.117,NRT,亚太地区,东京,84 ms
1.1.1.159,NRT,亚太地区,东京,84 ms
1.1.1.82,NRT,亚太地区,东京,84 ms
1.1.1.165,NRT,亚太地区,东京,84 ms
1.1.1.225,NRT,亚太地区,东京,84 ms
1.1.1.79,NRT,亚太地区,东京,84 ms
1.1.1.178,NRT,亚太地区,东京,84 ms
1.1.1.149,NRT,亚太地区,东京,85 ms
1.1.1.112,NRT,亚太地区,东京,85 ms
1.1.1.220,NRT,亚太地区,东京,85 ms
1.1.1.183,NRT,亚太地区,东京,85 ms
1.1.1.178,NRT,亚太地区,东京,85 ms
1.1.1.210,NRT,亚太地区,东京,85 ms
1.1.1.235,NRT,亚太地区,东京,85 ms
1.1.1.166,NRT,亚太地区,东京,85 ms
1.1.1.57,NRT,亚太地区,东京,85 ms
1.1.1.99,NRT,亚太地区,东京,85 ms
1.1.1.99,NRT,亚太地区,东京,85 ms
1.1.1.119,NRT,亚太地区,东京,86 ms
1.1.1.173,NRT,亚太地区,东京,86 ms
1.1.1.167,NRT,亚太地区,东京,86 ms
1.1.1.17,NRT,亚太地区,东京,86 ms
1.1.1.217,NRT,亚太地区,东京,86 ms
1.1.1.217,NRT,亚太地区,东京,87 ms
1.1.1.226,NRT,亚太地区,东京,87 ms
1.1.1.227,NRT,亚太地区,东京,87 ms
1.1.1.137,NRT,亚太地区,东京,87 ms
1.1.1.123,NRT,亚太地区,东京,87 ms
1.1.1.219,NRT,亚太地区,东京,88 ms
1.1.1.41,NRT,亚太地区,东京,88 ms
1.1.1.167,NRT,亚太地区,东京,88 ms
1.1.1.244,NRT,亚太地区,东京,88 ms
1.1.1.105,NRT,亚太地区,东京,90 ms
172.64.146.121,HKG,亚太地区,香港,91 ms
172.66.42.218,SEA,北美洲,西雅图,157 ms
104.21.30.178,SEA,北美洲,西雅图,157 ms
172.67.69.237,SEA,北美洲,西雅图,157 ms
104.17.246.64,SEA,北美洲,西雅图,157 ms
104.19.168.107,SEA,北美洲,西雅图,158 ms
104.18.76.139,SEA,北美洲,西雅图,158 ms
104.18.10.133,SEA,北美洲,西雅图,158 ms
104.17.249.9,SEA,北美洲,西雅图,158 ms
104.17.247.236,SEA,北美洲,西雅图,158 ms
104.17.251.79,SEA,北美洲,西雅图,158 ms
104.16.11.134,SEA,北美洲,西雅图,158 ms
104.21.16.26,SEA,北美洲,西雅图,158 ms
104.18.8.78,SEA,北美洲,西雅图,158 ms
104.16.32.254,SEA,北美洲,西雅图,158 ms
104.16.33.165,SEA,北美洲,西雅图,158 ms
104.18.13.119,SEA,北美洲,西雅图,158 ms
104.18.180.74,SEA,北美洲,西雅图,158 ms
104.21.29.1,SEA,北美洲,西雅图,158 ms
172.67.64.87,SEA,北美洲,西雅图,158 ms
104.18.1.14,SEA,北美洲,西雅图,158 ms
104.21.20.190,SEA,北美洲,西雅图,159 ms
104.16.50.70,SEA,北美洲,西雅图,159 ms
104.26.10.122,SEA,北美洲,西雅图,159 ms
104.21.228.192,SEA,北美洲,西雅图,159 ms
104.19.169.158,SEA,北美洲,西雅图,159 ms
104.21.232.131,SEA,北美洲,西雅图,159 ms
172.66.47.156,SEA,北美洲,西雅图,159 ms
172.67.162.109,SEA,北美洲,西雅图,159 ms
172.65.37.231,SEA,北美洲,西雅图,159 ms
104.19.164.73,SEA,北美洲,西雅图,159 ms
104.21.229.5,SEA,北美洲,西雅图,159 ms
172.66.41.91,SEA,北美洲,西雅图,159 ms
104.26.1.27,SEA,北美洲,西雅图,159 ms
104.19.171.147,SEA,北美洲,西雅图,159 ms
104.19.160.183,SEA,北美洲,西雅图,159 ms
172.67.171.230,SEA,北美洲,西雅图,159 ms
104.19.165.118,SEA,北美洲,西雅图,159 ms
104.18.71.235,SEA,北美洲,西雅图,159 ms
172.67.149.73,SEA,北美洲,西雅图,159 ms
104.19.175.226,SEA,北美洲,西雅图,159 ms
172.67.79.94,SEA,北美洲,西雅图,159 ms
172.67.161.244,SEA,北美洲,西雅图,159 ms
104.18.74.0,SEA,北美洲,西雅图,159 ms
104.21.239.135,SEA,北美洲,西雅图,159 ms
172.66.43.143,SEA,北美洲,西雅图,159 ms
104.21.238.116,SEA,北美洲,西雅图,159 ms
104.17.250.24,SEA,北美洲,西雅图,159 ms
104.21.235.114,SEA,北美洲,西雅图,159 ms
104.21.233.156,SEA,北美洲,西雅图,159 ms
104.18.188.93,SEA,北美洲,西雅图,159 ms
104.19.174.167,SEA,北美洲,西雅图,159 ms
104.16.1.96,SEA,北美洲,西雅图,159 ms
104.16.59.255,SEA,北美洲,西雅图,159 ms
104.16.44.235,SEA,北美洲,西雅图,159 ms
104.18.78.109,SEA,北美洲,西雅图,159 ms
172.67.154.117,SEA,北美洲,西雅图,159 ms
104.21.227.23,SEA,北美洲,西雅图,159 ms
104.21.25.107,SEA,北美洲,西雅图,159 ms
23.227.38.58,SEA,北美洲,西雅图,160 ms
172.67.169.240,SEA,北美洲,西雅图,160 ms
104.21.26.37,SEA,北美洲,西雅图,160 ms
104.21.236.52,SEA,北美洲,西雅图,160 ms
172.67.65.56,SEA,北美洲,西雅图,160 ms
104.18.77.7,SEA,北美洲,西雅图,160 ms
104.18.7.205,SEA,北美洲,西雅图,160 ms
104.16.40.108,SEA,北美洲,西雅图,160 ms
172.66.40.103,SEA,北美洲,西雅图,160 ms
172.66.45.102,SEA,北美洲,西雅图,160 ms
104.21.23.181,SEA,北美洲,西雅图,160 ms
104.17.254.84,SEA,北美洲,西雅图,160 ms
104.17.248.253,SEA,北美洲,西雅图,160 ms
104.26.2.147,SEA,北美洲,西雅图,160 ms
104.26.8.91,SEA,北美洲,西雅图,160 ms
104.18.75.57,SEA,北美洲,西雅图,160 ms
172.67.164.178,SEA,北美洲,西雅图,160 ms
104.19.167.113,SEA,北美洲,西雅图,160 ms
104.16.43.36,SEA,北美洲,西雅图,160 ms
104.16.42.134,SEA,北美洲,西雅图,160 ms
104.18.191.233,SEA,北美洲,西雅图,160 ms
104.16.56.162,SEA,北美洲,西雅图,160 ms
104.16.57.197,SEA,北美洲,西雅图,160 ms
104.18.184.114,SEA,北美洲,西雅图,160 ms
172.67.153.93,SEA,北美洲,西雅图,160 ms
104.16.60.250,SEA,北美洲,西雅图,160 ms
104.21.27.87,SEA,北美洲,西雅图,160 ms
104.16.63.22,SEA,北美洲,西雅图,160 ms
104.16.9.166,SEA,北美洲,西雅图,160 ms
104.17.255.239,SEA,北美洲,西雅图,160 ms
104.16.34.105,SEA,北美洲,西雅图,160 ms
104.16.48.31,SEA,北美洲,西雅图,160 ms
104.16.47.198,SEA,北美洲,西雅图,160 ms
104.26.4.182,SEA,北美洲,西雅图,160 ms
104.21.21.145,SEA,北美洲,西雅图,160 ms
104.21.28.172,SEA,北美洲,西雅图,160 ms
104.21.237.114,SEA,北美洲,西雅图,160 ms
104.19.166.124,SEA,北美洲,西雅图,160 ms
104.16.15.35,SEA,北美洲,西雅图,160 ms
104.16.13.174,SEA,北美洲,西雅图,160 ms
172.67.76.118,SEA,北美洲,西雅图,160 ms
172.67.172.205,SEA,北美洲,西雅图,160 ms
104.21.226.208,SEA,北美洲,西雅图,160 ms
104.21.18.9,SEA,北美洲,西雅图,160 ms
104.17.253.95,SEA,北美洲,西雅图,160 ms
104.16.37.234,SEA,北美洲,西雅图,161 ms
172.67.173.162,SEA,北美洲,西雅图,161 ms
104.21.224.87,SEA,北美洲,西雅图,161 ms
104.18.190.6,SEA,北美洲,西雅图,161 ms
104.16.46.147,SEA,北美洲,西雅图,161 ms
104.18.189.150,SEA,北美洲,西雅图,161 ms
104.26.9.236,SEA,北美洲,西雅图,161 ms
104.18.67.213,SEA,北美洲,西雅图,161 ms
104.18.68.17,SEA,北美洲,西雅图,161 ms
104.21.230.181,SEA,北美洲,西雅图,161 ms
104.18.79.120,SEA,北美洲,西雅图,161 ms
104.16.61.90,SEA,北美洲,西雅图,161 ms
104.16.55.80,SEA,北美洲,西雅图,161 ms
104.16.62.238,SEA,北美洲,西雅图,161 ms
172.65.46.11,SEA,北美洲,西雅图,161 ms
104.21.24.71,SEA,北美洲,西雅图,161 ms
104.16.58.28,SEA,北美洲,西雅图,161 ms
104.18.183.128,SEA,北美洲,西雅图,161 ms
172.65.45.58,SEA,北美洲,西雅图,161 ms
172.67.72.166,SEA,北美洲,西雅图,161 ms
172.67.151.204,SEA,北美洲,西雅图,161 ms
104.21.234.122,SEA,北美洲,西雅图,161 ms
172.67.152.41,SEA,北美洲,西雅图,161 ms
104.26.14.156,SEA,北美洲,西雅图,161 ms
104.21.225.117,SEA,北美洲,西雅图,161 ms
104.18.72.159,SEA,北美洲,西雅图,161 ms
172.67.145.138,SEA,北美洲,西雅图,161 ms
172.67.167.32,SEA,北美洲,西雅图,161 ms
104.16.7.95,SEA,北美洲,西雅图,161 ms
104.18.12.242,SEA,北美洲,西雅图,161 ms
104.18.2.67,SEA,北美洲,西雅图,161 ms
104.26.11.248,SEA,北美洲,西雅图,161 ms
172.67.165.27,SEA,北美洲,西雅图,161 ms
172.67.163.146,SEA,北美洲,西雅图,161 ms
172.67.158.13,SEA,北美洲,西雅图,161 ms
104.18.10.183,SEA,北美洲,西雅图,162 ms
104.26.7.169,SEA,北美洲,西雅图,162 ms
172.67.147.181,SEA,北美洲,西雅图,162 ms
104.16.39.148,SEA,北美洲,西雅图,162 ms
104.18.65.46,SEA,北美洲,西雅图,162 ms
172.67.144.251,SEA,北美洲,西雅图,162 ms
104.16.0.242,SEA,北美洲,西雅图,162 ms
104.16.6.50,SEA,北美洲,西雅图,162 ms
104.16.8.35,SEA,北美洲,西雅图,162 ms
172.67.168.201,SEA,北美洲,西雅图,162 ms
104.18.73.9,SEA,北美洲,西雅图,162 ms
104.18.9.14,SEA,北美洲,西雅图,162 ms
104.16.36.171,SEA,北美洲,西雅图,162 ms
104.16.52.213,SEA,北美洲,西雅图,162 ms
172.67.78.169,SEA,北美洲,西雅图,162 ms
104.18.63.193,SEA,北美洲,西雅图,162 ms
104.17.237.191,SEA,北美洲,西雅图,162 ms
104.18.0.40,SEA,北美洲,西雅图,162 ms
104.17.238.231,SEA,北美洲,西雅图,163 ms
104.16.45.234,SEA,北美洲,西雅图,163 ms
104.18.4.217,SEA,北美洲,西雅图,163 ms
172.67.174.120,SEA,北美洲,西雅图,163 ms
104.17.252.66,SEA,北美洲,西雅图,163 ms
172.67.166.47,SEA,北美洲,西雅图,163 ms
104.21.17.29,SEA,北美洲,西雅图,163 ms
104.19.172.157,SEA,北美洲,西雅图,163 ms
23.227.39.75,SEA,北美洲,西雅图,163 ms
172.67.75.225,SEA,北美洲,西雅图,163 ms
104.16.51.129,SEA,北美洲,西雅图,163 ms
104.16.49.96,SEA,北美洲,西雅图,163 ms
104.17.235.217,SEA,北美洲,西雅图,163 ms
104.17.236.175,SEA,北美洲,西雅图,163 ms
104.18.66.161,SEA,北美洲,西雅图,163 ms
104.16.41.107,SEA,北美洲,西雅图,163 ms
104.17.231.63,SEA,北美洲,西雅图,163 ms
172.67.146.43,SEA,北美洲,西雅图,164 ms
172.67.155.30,SEA,北美洲,西雅图,164 ms
104.21.19.176,SEA,北美洲,西雅图,164 ms
104.26.5.115,SEA,北美洲,西雅图,164 ms
104.18.14.96,SEA,北美洲,西雅图,164 ms
104.17.232.23,SEA,北美洲,西雅图,164 ms
104.17.233.2,SEA,北美洲,西雅图,164 ms
172.67.71.171,SEA,北美洲,西雅图,164 ms
172.66.46.155,SEA,北美洲,西雅图,164 ms
172.67.175.231,SEA,北美洲,西雅图,164 ms
172.67.77.205,SEA,北美洲,西雅图,164 ms
104.26.3.204,SEA,北美洲,西雅图,164 ms
104.18.3.1,SEA,北美洲,西雅图,164 ms
104.18.5.114,SEA,北美洲,西雅图,164 ms
172.67.68.173,SEA,北美洲,西雅图,164 ms
104.18.70.116,SEA,北美洲,西雅图,164 ms
104.19.161.141,SEA,北美洲,西雅图,164 ms
104.19.163.102,SEA,北美洲,西雅图,164 ms
172.67.170.211,SEA,北美洲,西雅图,164 ms
104.26.12.116,SEA,北美洲,西雅图,164 ms
104.26.0.187,SEA,北美洲,西雅图,164 ms
104.26.6.221,SEA,北美洲,西雅图,164 ms
104.18.69.251,SEA,北美洲,西雅图,164 ms
104.16.35.193,SEA,北美洲,西雅图,164 ms
104.26.15.168,SEA,北美洲,西雅图,164 ms
104.18.37.227,SEA,北美洲,西雅图,164 ms
104.16.53.170,SEA,北美洲,西雅图,164 ms
172.67.73.201,SEA,北美洲,西雅图,164 ms
104.18.15.251,SEA,北美洲,西雅图,164 ms
172.67.156.114,SEA,北美洲,西雅图,165 ms
104.16.38.30,SEA,北美洲,西雅图,165 ms
104.17.240.65,SEA,北美洲,西雅图,165 ms
104.19.173.4,SEA,北美洲,西雅图,165 ms
104.18.176.39,SEA,北美洲,西雅图,165 ms
104.21.231.199,SEA,北美洲,西雅图,165 ms
172.67.70.11,SEA,北美洲,西雅图,165 ms
172.67.66.19,SEA,北美洲,西雅图,165 ms
104.16.10.65,SEA,北美洲,西雅图,165 ms
104.17.244.124,SEA,北美洲,西雅图,165 ms
104.17.229.36,SEA,北美洲,西雅图,165 ms
104.21.22.59,SEA,北美洲,西雅图,165 ms
104.21.31.99,SEA,北美洲,西雅图,166 ms
104.17.228.179,SEA,北美洲,西雅图,166 ms
104.18.6.69,SEA,北美洲,西雅图,166 ms
104.17.243.63,SEA,北美洲,西雅图,166 ms
172.67.160.170,SEA,北美洲,西雅图,166 ms
104.18.64.22,SEA,北美洲,西雅图,166 ms
172.67.157.203,SEA,北美洲,西雅图,166 ms
104.18.186.138,SEA,北美洲,西雅图,166 ms
104.16.4.94,SEA,北美洲,西雅图,166 ms
104.19.170.109,SEA,北美洲,西雅图,166 ms
172.66.44.208,SEA,北美洲,西雅图,166 ms
104.19.162.89,SEA,北美洲,西雅图,167 ms
104.17.242.97,SEA,北美洲,西雅图,167 ms
104.17.241.27,SEA,北美洲,西雅图,167 ms
104.17.230.31,SEA,北美洲,西雅图,168 ms
104.17.245.136,SEA,北美洲,西雅图,168 ms
104.17.239.225,SEA,北美洲,西雅图,168 ms
104.17.234.204,SEA,北美洲,西雅图,168 ms
104.17.224.27,SEA,北美洲,西雅图,169 ms
104.24.55.232,LAX,北美洲,洛杉矶,170 ms
104.24.184.86,LAX,北美洲,洛杉矶,170 ms
172.67.67.83,SEA,北美洲,西雅图,171 ms
104.24.150.119,LAX,北美洲,洛杉矶,171 ms
104.25.30.121,LAX,北美洲,洛杉矶,171 ms
104.25.11.186,LAX,北美洲,洛杉矶,171 ms
104.27.206.129,LAX,北美洲,洛杉矶,171 ms
172.67.191.252,LAX,北美洲,洛杉矶,171 ms
104.17.227.190,SEA,北美洲,西雅图,171 ms
104.27.89.240,LAX,北美洲,洛杉矶,171 ms
104.25.111.96,LAX,北美洲,洛杉矶,171 ms
172.67.99.173,LAX,北美洲,洛杉矶,172 ms
104.20.22.185,LAX,北美洲,洛杉矶,172 ms
173.245.58.116,LAX,北美洲,洛杉矶,172 ms
104.20.41.67,LAX,北美洲,洛杉矶,172 ms
104.24.234.183,LAX,北美洲,洛杉矶,172 ms
104.19.89.95,LAX,北美洲,洛杉矶,172 ms
104.25.5.171,LAX,北美洲,洛杉矶,172 ms
104.19.97.13,LAX,北美洲,洛杉矶,172 ms
104.21.211.14,LAX,北美洲,洛杉矶,172 ms
185.193.30.14,LAX,北美洲,洛杉矶,172 ms
104.21.210.231,LAX,北美洲,洛杉矶,172 ms
104.24.2.69,LAX,北美洲,洛杉矶,172 ms
104.20.36.190,LAX,北美洲,洛杉矶,172 ms
185.135.9.146,LAX,北美洲,洛杉矶,172 ms
104.19.66.204,LAX,北美洲,洛杉矶,172 ms
104.24.175.73,LAX,北美洲,洛杉矶,172 ms
104.17.226.142,SEA,北美洲,西雅图,173 ms
104.21.97.204,LAX,北美洲,洛杉矶,173 ms
104.21.223.146,LAX,北美洲,洛杉矶,173 ms
104.24.26.144,LAX,北美洲,洛杉矶,173 ms
188.42.88.85,LAX,北美洲,洛杉矶,173 ms
104.129.164.0,LAX,北美洲,洛杉矶,173 ms
104.24.186.128,LAX,北美洲,洛杉矶,173 ms
104.19.6.226,LAX,北美洲,洛杉矶,173 ms
104.24.249.106,LAX,北美洲,洛杉矶,173 ms
104.19.99.44,LAX,北美洲,洛杉矶,173 ms
170.114.46.243,LAX,北美洲,洛杉矶,173 ms
104.16.54.220,SEA,北美洲,西雅图,173 ms
104.24.197.94,LAX,北美洲,洛杉矶,173 ms
104.24.198.213,LAX,北美洲,洛杉矶,173 ms
104.25.135.70,LAX,北美洲,洛杉矶,173 ms
104.27.195.228,LAX,北美洲,洛杉矶,173 ms
104.27.119.54,LAX,北美洲,洛杉矶,173 ms
104.17.225.227,SEA,北美洲,西雅图,173 ms
104.25.52.175,LAX,北美洲,洛杉矶,173 ms
104.24.3.185,LAX,北美洲,洛杉矶,173 ms
104.24.162.18,LAX,北美洲,洛杉矶,173 ms
104.21.221.56,LAX,北美洲,洛杉矶,173 ms
172.67.185.186,LAX,北美洲,洛杉矶,173 ms
104.21.63.165,LAX,北美洲,洛杉矶,173 ms
156.252.2.186,LAX,北美洲,洛杉矶,173 ms
104.25.96.7,LAX,北美洲,洛杉矶,173 ms
156.252.3.93,LAX,北美洲,洛杉矶,173 ms
104.27.110.207,LAX,北美洲,洛杉矶,173 ms
104.27.75.227,LAX,北美洲,洛杉矶,173 ms
104.20.23.222,LAX,北美洲,洛杉矶,173 ms
104.21.216.193,LAX,北美洲,洛杉矶,173 ms
104.19.107.161,LAX,北美洲,洛杉矶,173 ms
104.19.82.165,LAX,北美洲,洛杉矶,173 ms
104.24.32.12,LAX,北美洲,洛杉矶,173 ms
89.47.57.235,LAX,北美洲,洛杉矶,173 ms
104.19.110.130,LAX,北美洲,洛杉矶,173 ms
104.27.33.159,LAX,北美洲,洛杉矶,173 ms
104.27.122.142,LAX,北美洲,洛杉矶,174 ms
104.24.61.217,LAX,北美洲,洛杉矶,174 ms
104.24.42.121,LAX,北美洲,洛杉矶,174 ms
104.19.14.158,LAX,北美洲,洛杉矶,174 ms
104.21.13.163,LAX,北美洲,洛杉矶,174 ms
104.24.171.123,LAX,北美洲,洛杉矶,174 ms
185.193.31.22,LAX,北美洲,洛杉矶,174 ms
104.25.124.143,LAX,北美洲,洛杉矶,174 ms
194.59.5.233,LAX,北美洲,洛杉矶,174 ms
104.21.14.82,LAX,北美洲,洛杉矶,174 ms
162.120.94.52,LAX,北美洲,洛杉矶,174 ms
104.20.28.45,LAX,北美洲,洛杉矶,174 ms
104.25.72.51,LAX,北美洲,洛杉矶,174 ms
104.24.73.169,LAX,北美洲,洛杉矶,174 ms
104.25.233.55,LAX,北美洲,洛杉矶,174 ms
104.25.64.127,LAX,北美洲,洛杉矶,174 ms
104.24.5.66,LAX,北美洲,洛杉矶,174 ms
104.24.25.3,LAX,北美洲,洛杉矶,174 ms
104.25.224.150,LAX,北美洲,洛杉矶,174 ms
104.25.225.127,LAX,北美洲,洛杉矶,174 ms
104.27.192.95,LAX,北美洲,洛杉矶,174 ms
104.25.126.97,LAX,北美洲,洛杉矶,174 ms
104.24.254.73,LAX,北美洲,洛杉矶,174 ms
104.27.41.149,LAX,北美洲,洛杉矶,174 ms
172.65.170.117,MAD,欧洲,马德里,174 ms
104.24.176.237,LAX,北美洲,洛杉矶,174 ms
104.27.22.201,LAX,北美洲,洛杉矶,174 ms
104.24.17.3,LAX,北美洲,洛杉矶,174 ms
167.68.5.225,LAX,北美洲,洛杉矶,174 ms
104.27.86.8,LAX,北美洲,洛杉矶,174 ms
104.19.84.31,LAX,北美洲,洛杉矶,174 ms
104.24.79.184,LAX,北美洲,洛杉矶,174 ms
194.36.55.176,LAX,北美洲,洛杉矶,174 ms
198.202.211.109,LAX,北美洲,洛杉矶,174 ms
104.25.10.254,LAX,北美洲,洛杉矶,174 ms
104.19.123.52,LAX,北美洲,洛杉矶,174 ms
104.24.35.68,LAX,北美洲,洛杉矶,174 ms
104.19.25.82,LAX,北美洲,洛杉矶,174 ms
104.25.231.254,LAX,北美洲,洛杉矶,174 ms
104.27.78.180,LAX,北美洲,洛杉矶,174 ms
104.25.238.11,LAX,北美洲,洛杉矶,174 ms
104.25.16.231,LAX,北美洲,洛杉矶,174 ms
172.67.109.15,LAX,北美洲,洛杉矶,174 ms
104.25.161.229,LAX,北美洲,洛杉矶,174 ms
104.25.175.251,LAX,北美洲,洛杉矶,174 ms
104.21.54.220,LAX,北美洲,洛杉矶,174 ms
104.27.82.213,LAX,北美洲,洛杉矶,174 ms
104.25.19.113,LAX,北美洲,洛杉矶,174 ms
104.19.91.196,LAX,北美洲,洛杉矶,174 ms
104.25.164.137,LAX,北美洲,洛杉矶,174 ms
104.25.223.72,LAX,北美洲,洛杉矶,174 ms
104.24.28.165,LAX,北美洲,洛杉矶,174 ms
104.25.17.107,LAX,北美洲,洛杉矶,174 ms
104.27.1.76,LAX,北美洲,洛杉矶,174 ms
104.24.145.73,LAX,北美洲,洛杉矶,174 ms
45.142.120.4,LAX,北美洲,洛杉矶,174 ms
172.67.177.148,LAX,北美洲,洛杉矶,174 ms
104.25.9.127,LAX,北美洲,洛杉矶,174 ms
104.24.243.106,LAX,北美洲,洛杉矶,174 ms
104.20.34.103,LAX,北美洲,洛杉矶,174 ms
203.29.53.181,LAX,北美洲,洛杉矶,174 ms
104.25.139.15,LAX,北美洲,洛杉矶,174 ms
104.21.15.132,LAX,北美洲,洛杉矶,174 ms
104.25.14.129,LAX,北美洲,洛杉矶,174 ms
104.24.81.174,LAX,北美洲,洛杉矶,174 ms
104.27.95.131,LAX,北美洲,洛杉矶,174 ms
45.81.58.177,LAX,北美洲,洛杉矶,174 ms
188.164.248.162,LAX,北美洲,洛杉矶,174 ms
104.25.87.10,LAX,北美洲,洛杉矶,174 ms
104.27.112.40,LAX,北美洲,洛杉矶,174 ms
203.17.126.105,LAX,北美洲,洛杉矶,174 ms
104.27.107.129,LAX,北美洲,洛杉矶,174 ms
104.24.156.243,LAX,北美洲,洛杉矶,174 ms
104.24.155.110,LAX,北美洲,洛杉矶,174 ms
104.21.1.129,LAX,北美洲,洛杉矶,174 ms
1.0.0.66,LAX,北美洲,洛杉矶,174 ms
104.21.8.177,LAX,北美洲,洛杉矶,175 ms
104.24.192.177,LAX,北美洲,洛杉矶,175 ms
194.53.53.238,LAX,北美洲,洛杉矶,175 ms
104.27.126.69,LAX,北美洲,洛杉矶,175 ms
104.21.62.165,LAX,北美洲,洛杉矶,175 ms
104.19.3.46,LAX,北美洲,洛杉矶,175 ms
172.67.226.149,LAX,北美洲,洛杉矶,175 ms
104.24.203.104,LAX,北美洲,洛杉矶,175 ms
104.27.70.181,LAX,北美洲,洛杉矶,175 ms
104.25.47.33,LAX,北美洲,洛杉矶,175 ms
172.66.2.121,LAX,北美洲,洛杉矶,175 ms
104.27.98.185,LAX,北美洲,洛杉矶,175 ms
104.24.237.36,LAX,北美洲,洛杉矶,175 ms
172.66.1.255,LAX,北美洲,洛杉矶,175 ms
104.19.19.33,LAX,北美洲,洛杉矶,175 ms
104.24.216.216,LAX,北美洲,洛杉矶,175 ms
104.27.118.65,LAX,北美洲,洛杉矶,175 ms
104.24.149.170,LAX,北美洲,洛杉矶,175 ms
172.65.63.8,LAX,北美洲,洛杉矶,175 ms
104.24.41.123,LAX,北美洲,洛杉矶,175 ms
170.114.45.65,LAX,北美洲,洛杉矶,175 ms
104.24.12.180,LAX,北美洲,洛杉矶,175 ms
104.25.229.192,LAX,北美洲,洛杉矶,175 ms
104.25.234.250,LAX,北美洲,洛杉矶,175 ms
104.25.39.78,LAX,北美洲,洛杉矶,175 ms
104.25.117.146,LAX,北美洲,洛杉矶,175 ms
92.53.191.99,LAX,北美洲,洛杉矶,175 ms
104.25.142.52,LAX,北美洲,洛杉矶,175 ms
172.67.111.55,LAX,北美洲,洛杉矶,175 ms
104.20.19.140,LAX,北美洲,洛杉矶,175 ms
104.27.71.177,LAX,北美洲,洛杉矶,175 ms
104.25.220.221,LAX,北美洲,洛杉矶,175 ms
172.67.104.157,LAX,北美洲,洛杉矶,175 ms
185.162.231.230,LAX,北美洲,洛杉矶,175 ms
185.162.230.136,LAX,北美洲,洛杉矶,175 ms
104.19.98.144,LAX,北美洲,洛杉矶,175 ms
104.19.94.101,LAX,北美洲,洛杉矶,175 ms
104.27.28.137,LAX,北美洲,洛杉矶,175 ms
154.194.12.78,LAX,北美洲,洛杉矶,175 ms
162.159.45.57,LAX,北美洲,洛杉矶,175 ms
203.30.190.56,LAX,北美洲,洛杉矶,175 ms
104.19.115.75,LAX,北美洲,洛杉矶,175 ms
104.27.51.242,LAX,北美洲,洛杉矶,175 ms
172.67.114.93,LAX,北美洲,洛杉矶,175 ms
104.25.2.194,LAX,北美洲,洛杉矶,175 ms
